1,Courtyard by Marriott,Miami,FL,33135,43321 Brittany Bypass,3056421049,http://www.courtyard.com/,Budget,4.1,419.48,"Business Centre, Airport Shuttle, Spa, Rooftop Terrace",399,2026-04-10 00:15:14.962654+03
2,Holiday Inn,Miami,FL,33101,33890 Jennifer Squares,8776540232,https://www.ihg.com/holidayinn/redirect?path=home&regionCode=1&localeCode=en&_PMID=99602381&setPMCookies=true&brandCode=HI&cm_mmc=mdpr-_-yellowpages-_-natpll-_-&glat=MEDI,Budget,4.7,343.20,"Free Wi-Fi, Gym, Bar",139,2026-04-10 00:15:14.962654+03
3,Holiday Inn Express,Miami,FL,33101,79402 Peterson Drives Apt. 511,8776540232,https://www.ihg.com/holidayinnexpress/redirect?path=home&regionCode=1&localeCode=en&_PMID=99602381&setPMCookies=true&brandCode=EX&cm_mmc=mdpr-_-yellowpages-_-tile-_-&glat=MEDI,Budget,3.8,328.43,"Concierge, Business Centre, Laundry Service, Pet-Friendly, Airport Shuttle, Room Service, Free Wi-Fi",101,2026-04-10 00:15:14.962654+03
4,IHG Hotels & Resorts,Miami,FL,33101,55940 Herrera Lane Apt. 849,8776540232,https://www.ihg.com/redirect?path=home&regionCode=1&localeCode=en&_PMID=99602381&setPMCookies=true&brandCode=6C&cm_mmc=mdpr-_-yellowpages-_-platinum-_-&glat=MEDI,Boutique,4.2,185.33,"Rooftop Terrace, Spa, Gym, Bar",69,2026-04-10 00:15:14.962654+03
5,avid hotels,Miami,FL,33101,310 Kendra Common Apt. 164,8776540232,https://www.ihg.com/avidhotels/redirect?path=home&regionCode=1&localeCode=en&_PMID=99602381&setPMCookies=true&brandCode=VA&cm_mmc=mdpr-_-yellowpages-_-platinum-_-&glat=MEDI,Boutique,3.4,349.88,"Laundry Service, Spa, Room Service",60,2026-04-10 00:15:14.962654+03
6,Best Western Plus Miami Executive Airport Hotel & Suites,Miami,FL,33186,13700 SW 139th Ct,3059691600,https://www.bestwestern.com/en_US/book/hotel-rooms.10398.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:10398,Resort,3.9,492.15,"Bar, Gym, Swimming Pool, Rooftop Terrace, Spa",168,2026-04-10 00:15:14.962654+03
7,Erg Hotel Inc,Miami,FL,33186,13700 SW 139th Ct,3052543003,,Mid-range,5.0,482.57,"Parking, Laundry Service, 24-Hour Front Desk, Gym, Restaurant, Concierge",127,2026-04-10 00:15:14.962654+03
8,Koala Tours And Transportation,Miami,FL,33138,525 Clark Grove Apt. 928,7542656987,http://koalatoursandtransportation.com/,Budget,4.2,352.61,"Conference Rooms, Business Centre, Restaurant, Kids Club",214,2026-04-10 00:15:14.962654+03
9,Le Pavilion At Hotel Inter-Continental,Miami,FL,33101,76483 Cameron Trail,3053724494,,Resort,3.2,155.91,"Swimming Pool, Business Centre, Conference Rooms, Room Service, Restaurant",225,2026-04-10 00:15:14.962654+03
10,Biltmore Bar,Miami,FL,33125,05641 Robin Port,3054451926,http://www.biltmorehotel.com/dining/bar.php,Mid-range,3.2,506.13,"Rooftop Terrace, Bar, EV Charging, Kids Club, Conference Rooms, Business Centre, Gym",155,2026-04-10 00:15:14.962654+03
11,Hotel Victor,Miami,FL,33101,76724 John Points Suite 969,3057798700,http://www.hotelvictorsouthbeach.com/,Resort,2.8,317.18,"Concierge, Room Service, 24-Hour Front Desk, Spa, Gym, Parking, Business Centre",66,2026-04-10 00:15:14.962654+03
12,Massaro Group Inc,Miami Beach,FL,33139,3287 Katelyn Wall Apt. 226,8446277276,,Budget,4.4,122.18,"Concierge, Gym, Room Service, Bar",325,2026-04-10 00:15:14.962654+03
